musteri_id,persona,tarih,islem_tipi,kategori,tutar,aciklama,kanal,karsi_taraf_tipi,brut_tutar,zorunlu_mu
6002,ogrenci_orta_gelir,2026-01-02,gelir,freelance,4746.13,freelance,havale,platform,4995.93,
6002,ogrenci_orta_gelir,2026-01-03,gider,market,-2386.64,market,nakit,kurum,,1
6002,ogrenci_orta_gelir,2026-01-04,gider,market,-1614.72,market,nakit,kurum,,1
6002,ogrenci_orta_gelir,2026-01-05,gider,kira,-6432.12,kira,havale,birey,,1
6002,ogrenci_orta_gelir,2026-01-06,gider,abonelik,-2224.72,abonelik,kart,kurum,,0
6002,ogrenci_orta_gelir,2026-01-09,gelir,part_time,6852.39,part_time,havale,isveren,8061.64,
6002,ogrenci_orta_gelir,2026-01-11,gider,saglik,-2088.54,saglik,kart,kurum,,1
6002,ogrenci_orta_gelir,2026-01-17,gider,fatura,-2144.04,fatura,otomatik_odeme,kurum,,1
6002,ogrenci_orta_gelir,2026-01-17,gider,saglik,-1335.51,saglik,nakit,kurum,,1
6002,ogrenci_orta_gelir,2026-01-19,gider,market,-1150.65,market,havale,kurum,,1
6002,ogrenci_orta_gelir,2026-01-21,gider,saglik,-2341.75,saglik,kart,kurum,,1
6002,ogrenci_orta_gelir,2026-01-22,gider,abonelik,-2027.74,abonelik,kart,kurum,,0
6002,ogrenci_orta_gelir,2026-01-22,gider,ulasim,-1654.87,ulasim,nakit,kurum,,1
6002,ogrenci_orta_gelir,2026-01-23,gelir,part_time,6777.66,part_time,havale,isveren,7973.72,
6002,ogrenci_orta_gelir,2026-01-25,gelir,freelance,3791.35,freelance,havale,platform,3990.89,
6002,ogrenci_orta_gelir,2026-01-28,gelir,burs,4414.53,burs,havale,kurum,4414.53,
6002,ogrenci_orta_gelir,2026-01-29,gider,abonelik,-1825.44,abonelik,havale,kurum,,0
6002,ogrenci_orta_gelir,2026-01-31,gelir,aile,5056.98,aile,havale,birey,5056.98,
6002,ogrenci_orta_gelir,2026-02-02,gider,kira,-6432.12,kira,havale,birey,,1
6002,ogrenci_orta_gelir,2026-02-03,gelir,part_time,6645.85,part_time,havale,isveren,7818.65,
6002,ogrenci_orta_gelir,2026-02-03,gider,market,-1098.24,market,nakit,kurum,,1
6002,ogrenci_orta_gelir,2026-02-10,gider,eglence,-953.35,eglence,havale,kurum,,0
6002,ogrenci_orta_gelir,2026-02-16,gelir,freelance,3943.97,freelance,havale,platform,4151.55,
6002,ogrenci_orta_gelir,2026-02-17,gelir,part_time,7436.17,part_time,havale,isveren,8748.44,
6002,ogrenci_orta_gelir,2026-02-17,gider,fatura,-2144.04,fatura,otomatik_odeme,kurum,,1
6002,ogrenci_orta_gelir,2026-02-19,gider,fatura,-2067.76,fatura,nakit,kurum,,1
6002,ogrenci_orta_gelir,2026-02-24,gelir,burs,3876.24,burs,havale,kurum,3876.24,
6002,ogrenci_orta_gelir,2026-03-01,gelir,aile,7290.7,aile,havale,birey,7290.7,
6002,ogrenci_orta_gelir,2026-03-04,gider,market,-1085.16,market,kart,kurum,,1
6002,ogrenci_orta_gelir,2026-03-05,gelir,part_time,7877.25,part_time,havale,isveren,9267.35,
6002,ogrenci_orta_gelir,2026-03-06,gider,kira,-6432.12,kira,havale,birey,,1
6002,ogrenci_orta_gelir,2026-03-12,gider,egitim,-2250.5,egitim,nakit,kurum,,0
6002,ogrenci_orta_gelir,2026-03-14,gelir,freelance,3764.76,freelance,havale,platform,3962.91,
6002,ogrenci_orta_gelir,2026-03-16,gider,yeme_icme,-1867.19,yeme_icme,kart,kurum,,0
6002,ogrenci_orta_gelir,2026-03-16,gider,market,-2164.47,market,havale,kurum,,1
6002,ogrenci_orta_gelir,2026-03-21,gelir,part_time,6286.47,part_time,havale,isveren,7395.85,
6002,ogrenci_orta_gelir,2026-03-21,gider,fatura,-2144.04,fatura,otomatik_odeme,kurum,,1
6002,ogrenci_orta_gelir,2026-03-25,gelir,burs,4524.5,burs,havale,kurum,4524.5,
6002,ogrenci_orta_gelir,2026-03-26,gider,ulasim,-1647.14,ulasim,kart,kurum,,1
6002,ogrenci_orta_gelir,2026-03-30,gelir,aile,7072.43,aile,havale,birey,7072.43,
6002,ogrenci_orta_gelir,2026-04-02,gider,kira,-6432.12,kira,havale,birey,,1
6002,ogrenci_orta_gelir,2026-04-08,gelir,part_time,6119.6,part_time,havale,isveren,7199.53,
6002,ogrenci_orta_gelir,2026-04-09,gelir,freelance,4207.97,freelance,havale,platform,4429.44,
6002,ogrenci_orta_gelir,2026-04-09,gider,saglik,-1881.79,saglik,nakit,kurum,,1
6002,ogrenci_orta_gelir,2026-04-10,gider,saglik,-926.03,saglik,havale,kurum,,1
6002,ogrenci_orta_gelir,2026-04-13,gider,yeme_icme,-1977.72,yeme_icme,kart,kurum,,0
6002,ogrenci_orta_gelir,2026-04-16,gider,abonelik,-2149.92,abonelik,havale,kurum,,0
6002,ogrenci_orta_gelir,2026-04-19,gider,eglence,-1040.8,eglence,havale,kurum,,0
6002,ogrenci_orta_gelir,2026-04-20,gelir,part_time,6912.49,part_time,havale,isveren,8132.34,
6002,ogrenci_orta_gelir,2026-04-20,gider,abonelik,-2189.81,abonelik,havale,kurum,,0
6002,ogrenci_orta_gelir,2026-04-21,gider,market,-2330.95,market,nakit,kurum,,1
6002,ogrenci_orta_gelir,2026-04-22,gider,fatura,-2144.04,fatura,otomatik_odeme,kurum,,1
6002,ogrenci_orta_gelir,2026-04-22,gider,saglik,-1585.19,saglik,havale,kurum,,1
6002,ogrenci_orta_gelir,2026-04-23,gider,fatura,-1879.55,fatura,nakit,kurum,,1
6002,ogrenci_orta_gelir,2026-04-25,gelir,burs,4668.95,burs,havale,kurum,4668.95,
6002,ogrenci_orta_gelir,2026-04-29,gider,egitim,-2084.65,egitim,havale,kurum,,0
6002,ogrenci_orta_gelir,2026-04-30,gider,abonelik,-1567.12,abonelik,kart,kurum,,0
6002,ogrenci_orta_gelir,2026-05-02,gelir,aile,7785.08,aile,havale,birey,7785.08,
