musteri_id,persona,tarih,islem_tipi,kategori,tutar,aciklama
6002,ogrenci_orta_gelir,2026-01-02,gelir,freelance,4746.13,freelance
6002,ogrenci_orta_gelir,2026-01-03,gider,market,-2386.64,market
6002,ogrenci_orta_gelir,2026-01-04,gider,market,-1614.72,market
6002,ogrenci_orta_gelir,2026-01-05,gider,kira,-6432.12,kira
6002,ogrenci_orta_gelir,2026-01-06,gider,abonelik,-2224.72,abonelik
6002,ogrenci_orta_gelir,2026-01-09,gelir,part_time,6852.39,part_time
6002,ogrenci_orta_gelir,2026-01-11,gider,saglik,-2088.54,saglik
6002,ogrenci_orta_gelir,2026-01-17,gider,fatura,-2144.04,fatura
6002,ogrenci_orta_gelir,2026-01-17,gider,saglik,-1335.51,saglik
6002,ogrenci_orta_gelir,2026-01-19,gider,market,-1150.65,market
6002,ogrenci_orta_gelir,2026-01-21,gider,saglik,-2341.75,saglik
6002,ogrenci_orta_gelir,2026-01-22,gider,abonelik,-2027.74,abonelik
6002,ogrenci_orta_gelir,2026-01-22,gider,ulasim,-1654.87,ulasim
6002,ogrenci_orta_gelir,2026-01-23,gelir,part_time,6777.66,part_time
6002,ogrenci_orta_gelir,2026-01-25,gelir,freelance,3791.35,freelance
6002,ogrenci_orta_gelir,2026-01-28,gelir,burs,4414.53,burs
6002,ogrenci_orta_gelir,2026-01-29,gider,abonelik,-1825.44,abonelik
6002,ogrenci_orta_gelir,2026-01-31,gelir,aile,5056.98,aile
6002,ogrenci_orta_gelir,2026-02-02,gider,kira,-6432.12,kira
6002,ogrenci_orta_gelir,2026-02-03,gelir,part_time,6645.85,part_time
6002,ogrenci_orta_gelir,2026-02-03,gider,market,-1098.24,market
6002,ogrenci_orta_gelir,2026-02-10,gider,eglence,-953.35,eglence
6002,ogrenci_orta_gelir,2026-02-16,gelir,freelance,3943.97,freelance
6002,ogrenci_orta_gelir,2026-02-17,gelir,part_time,7436.17,part_time
6002,ogrenci_orta_gelir,2026-02-17,gider,fatura,-2144.04,fatura
6002,ogrenci_orta_gelir,2026-02-19,gider,fatura,-2067.76,fatura
6002,ogrenci_orta_gelir,2026-02-24,gelir,burs,3876.24,burs
6002,ogrenci_orta_gelir,2026-03-01,gelir,aile,7290.7,aile
6002,ogrenci_orta_gelir,2026-03-04,gider,market,-1085.16,market
6002,ogrenci_orta_gelir,2026-03-05,gelir,part_time,7877.25,part_time
6002,ogrenci_orta_gelir,2026-03-06,gider,kira,-6432.12,kira
6002,ogrenci_orta_gelir,2026-03-12,gider,egitim,-2250.5,egitim
6002,ogrenci_orta_gelir,2026-03-14,gelir,freelance,3764.76,freelance
6002,ogrenci_orta_gelir,2026-03-16,gider,yeme_icme,-1867.19,yeme_icme
6002,ogrenci_orta_gelir,2026-03-16,gider,market,-2164.47,market
6002,ogrenci_orta_gelir,2026-03-21,gelir,part_time,6286.47,part_time
6002,ogrenci_orta_gelir,2026-03-21,gider,fatura,-2144.04,fatura
6002,ogrenci_orta_gelir,2026-03-25,gelir,burs,4524.5,burs
6002,ogrenci_orta_gelir,2026-03-26,gider,ulasim,-1647.14,ulasim
6002,ogrenci_orta_gelir,2026-03-30,gelir,aile,7072.43,aile
6002,ogrenci_orta_gelir,2026-04-02,gider,kira,-6432.12,kira
6002,ogrenci_orta_gelir,2026-04-08,gelir,part_time,6119.6,part_time
6002,ogrenci_orta_gelir,2026-04-09,gelir,freelance,4207.97,freelance
6002,ogrenci_orta_gelir,2026-04-09,gider,saglik,-1881.79,saglik
6002,ogrenci_orta_gelir,2026-04-10,gider,saglik,-926.03,saglik
6002,ogrenci_orta_gelir,2026-04-13,gider,yeme_icme,-1977.72,yeme_icme
