musteri_id,persona,tarih,islem_tipi,kategori,tutar,aciklama,kanal,karsi_taraf_tipi,brut_tutar,zorunlu_mu
6003,ogrenci_yuksek_gelir,2026-01-02,gelir,part_time,17695.4,part_time,havale,isveren,20818.12,
6003,ogrenci_yuksek_gelir,2026-01-03,gelir,burs,6436.14,burs,havale,kurum,6436.14,
6003,ogrenci_yuksek_gelir,2026-01-03,gelir,aile,6595.12,aile,havale,birey,6595.12,
6003,ogrenci_yuksek_gelir,2026-01-03,gider,ulasim,-2920.36,ulasim,kart,kurum,,1
6003,ogrenci_yuksek_gelir,2026-01-03,gider,eglence,-2645.49,eglence,nakit,kurum,,0
6003,ogrenci_yuksek_gelir,2026-01-04,gider,fatura,-4641.72,fatura,otomatik_odeme,kurum,,1
6003,ogrenci_yuksek_gelir,2026-01-04,gider,saglik,-4053.58,saglik,havale,kurum,,1
6003,ogrenci_yuksek_gelir,2026-01-05,gelir,freelance,14035.04,freelance,havale,platform,14773.73,
6003,ogrenci_yuksek_gelir,2026-01-05,gider,egitim,-4921.55,egitim,kart,kurum,,0
6003,ogrenci_yuksek_gelir,2026-01-06,gider,kira,-13925.16,kira,havale,birey,,1
6003,ogrenci_yuksek_gelir,2026-01-18,gelir,part_time,20308.34,part_time,havale,isveren,23892.16,
6003,ogrenci_yuksek_gelir,2026-01-18,gider,saglik,-2367.78,saglik,nakit,kurum,,1
6003,ogrenci_yuksek_gelir,2026-01-21,gider,fatura,-3494.31,fatura,kart,kurum,,1
6003,ogrenci_yuksek_gelir,2026-01-25,gider,market,-4031.23,market,havale,kurum,,1
6003,ogrenci_yuksek_gelir,2026-01-26,gider,abonelik,-4484.05,abonelik,havale,kurum,,0
6003,ogrenci_yuksek_gelir,2026-01-27,gider,giyim,-4043.78,giyim,kart,kurum,,0
6003,ogrenci_yuksek_gelir,2026-01-30,gider,yeme_icme,-4594.29,yeme_icme,nakit,kurum,,0
6003,ogrenci_yuksek_gelir,2026-02-01,gelir,freelance,13899.83,freelance,havale,platform,14631.4,
6003,ogrenci_yuksek_gelir,2026-02-02,gelir,burs,6873.76,burs,havale,kurum,6873.76,
6003,ogrenci_yuksek_gelir,2026-02-02,gelir,part_time,19788.14,part_time,havale,isveren,23280.16,
6003,ogrenci_yuksek_gelir,2026-02-02,gider,market,-2813.11,market,nakit,kurum,,1
6003,ogrenci_yuksek_gelir,2026-02-05,gider,kira,-13925.16,kira,havale,birey,,1
6003,ogrenci_yuksek_gelir,2026-02-05,gider,eglence,-5090.0,eglence,nakit,kurum,,0
6003,ogrenci_yuksek_gelir,2026-02-10,gelir,aile,7426.26,aile,havale,birey,7426.26,
6003,ogrenci_yuksek_gelir,2026-02-14,gelir,part_time,19342.22,part_time,havale,isveren,22755.55,
6003,ogrenci_yuksek_gelir,2026-02-21,gider,fatura,-4641.72,fatura,otomatik_odeme,kurum,,1
6003,ogrenci_yuksek_gelir,2026-02-23,gider,yeme_icme,-3811.29,yeme_icme,kart,kurum,,0
6003,ogrenci_yuksek_gelir,2026-02-24,gider,ulasim,-4821.59,ulasim,nakit,kurum,,1
6003,ogrenci_yuksek_gelir,2026-02-28,gelir,part_time,19355.11,part_time,havale,isveren,22770.72,
6003,ogrenci_yuksek_gelir,2026-03-02,gider,eglence,-3946.05,eglence,nakit,kurum,,0
6003,ogrenci_yuksek_gelir,2026-03-03,gelir,burs,7320.95,burs,havale,kurum,7320.95,
6003,ogrenci_yuksek_gelir,2026-03-03,gelir,freelance,16519.32,freelance,havale,platform,17388.76,
6003,ogrenci_yuksek_gelir,2026-03-03,gider,fatura,-4641.72,fatura,otomatik_odeme,kurum,,1
6003,ogrenci_yuksek_gelir,2026-03-03,gider,fatura,-4806.28,fatura,nakit,kurum,,1
6003,ogrenci_yuksek_gelir,2026-03-05,gider,kira,-13925.16,kira,havale,birey,,1
6003,ogrenci_yuksek_gelir,2026-03-08,gider,saglik,-3552.41,saglik,nakit,kurum,,1
6003,ogrenci_yuksek_gelir,2026-03-11,gelir,aile,6846.37,aile,havale,birey,6846.37,
6003,ogrenci_yuksek_gelir,2026-03-11,gider,market,-3923.64,market,nakit,kurum,,1
6003,ogrenci_yuksek_gelir,2026-03-12,gider,giyim,-3114.89,giyim,nakit,kurum,,0
