musteri_id,persona,toplam_gelir_hacmi,toplam_gider_hacmi,gelir_islem_sayisi,gelir_kaynagi_sayisi,gelir_duzenliligi,gider_gelir_orani,bakiye_trendi,fatura_odeme_duzeni,hesap_hareket_yogunlugu,klasik_skor,temerrut_olasiligi_gercek,temerrut
1,klasik_maasli,112920.0,66735.0,6,1,1.0,0.591,1.431,0.833,0.285,812,0.0207,0
2,klasik_maasli,107880.0,97250.0,6,1,1.0,0.901,6.066,0.833,0.285,807,0.0463,0
3,klasik_maasli,170223.0,111708.0,6,1,1.0,0.656,1.068,1.0,0.285,850,0.0168,0
4,klasik_maasli,109146.0,89308.0,6,1,1.0,0.818,0.095,0.833,0.287,809,0.1217,0
5,stajyer_degisken_gelir,83508.0,62769.0,12,2,0.418,0.752,20.713,0.0,0.322,623,0.1339,1
6,stajyer_degisken_gelir,98611.0,97594.0,15,2,0.269,0.99,1.416,0.5,0.345,638,0.3348,1
7,dusuk_hacim_riskli,6686.0,6989.0,4,1,0.246,1.045,-0.476,0.833,0.285,506,0.2552,1
8,klasik_maasli,205823.0,151039.0,6,1,1.0,0.734,0.592,0.333,0.285,850,0.2061,0
9,stajyer_degisken_gelir,106470.0,97470.0,15,2,0.192,0.915,4.383,0.833,0.335,646,0.0183,0
10,ogrenci_yuksek_hacim,87940.0,70642.0,26,4,0.107,0.803,3.182,0.667,0.415,597,0.0139,0
11,klasik_maasli,175422.0,113868.0,6,1,1.0,0.649,1.092,1.0,0.302,850,0.0474,0
12,klasik_maasli,199752.0,127092.0,6,1,1.0,0.636,1.175,0.833,0.287,850,0.0352,0
13,dusuk_hacim_riskli,1128.0,2250.0,1,1,0.0,1.995,-21.02,1.0,0.272,501,0.9984,1
14,stajyer_degisken_gelir,80305.0,56147.0,9,2,0.45,0.699,1.586,1.0,0.314,620,0.0827,0
15,stajyer_degisken_gelir,79640.0,70244.0,9,2,0.156,0.882,5.176,0.833,0.307,619,0.1143,0
16,dusuk_hacim_riskli,9843.0,11074.0,4,1,0.436,1.125,-2.7,0.667,0.288,509,0.9634,1
17,klasik_maasli,188238.0,139186.0,6,1,1.0,0.739,0.569,1.0,0.305,850,0.0542,0
18,klasik_maasli,160519.0,103899.0,6,1,1.0,0.647,1.116,1.0,0.291,850,0.0324,0
19,ogrenci_yuksek_hacim,131242.0,113112.0,27,4,0.227,0.862,6.066,0.5,0.411,641,0.053,0
20,stajyer_degisken_gelir,115103.0,101563.0,15,2,0.254,0.882,9.357,0.667,0.333,655,0.0319,0
21,stajyer_degisken_gelir,77973.0,51744.0,12,2,0.168,0.664,15.735,0.667,0.322,617,0.0172,0
22,klasik_maasli,154425.0,122754.0,6,1,1.0,0.795,0.235,0.333,0.304,850,0.1972,0
23,stajyer_degisken_gelir,108730.0,66991.0,14,2,0.384,0.616,36.827,0.667,0.335,648,0.0235,0
24,ogrenci_yuksek_hacim,105720.0,68208.0,30,4,0.0,0.645,18.207,1.0,0.441,615,0.0953,0
25,stajyer_degisken_gelir,93783.0,77039.0,10,2,0.462,0.821,9.473,0.5,0.316,633,0.0464,0
26,stajyer_degisken_gelir,70206.0,61155.0,9,2,0.408,0.871,5.858,1.0,0.31,610,0.023,0
27,klasik_maasli,204488.0,164281.0,6,1,1.0,0.803,8.66,0.5,0.293,850,0.0069,0
28,klasik_maasli,141727.0,83218.0,6,1,1.0,0.587,28.276,0.667,0.302,841,0.0202,0
29,ogrenci_yuksek_hacim,134831.0,75582.0,26,4,0.602,0.561,39.498,1.0,0.397,644,0.0396,0
30,dusuk_hacim_riskli,1733.0,2307.0,1,1,0.0,1.331,-9.455,0.833,0.263,501,0.9813,1
31,ogrenci_yuksek_hacim,118828.0,74955.0,26,4,0.179,0.631,11.468,1.0,0.423,628,0.0413,0
32,ogrenci_yuksek_hacim,128022.0,66495.0,29,4,0.0,0.519,74.684,0.833,0.411,638,0.0126,0
33,klasik_maasli,117758.0,86984.0,6,1,1.0,0.739,0.571,0.5,0.285,817,0.0443,0
34,stajyer_degisken_gelir,90405.0,65659.0,12,2,0.378,0.726,1.356,0.5,0.335,630,0.0735,0
35,ogrenci_yuksek_hacim,149979.0,95890.0,30,4,0.341,0.639,19.949,0.5,0.424,659,0.008,0
36,klasik_maasli,138359.0,81154.0,6,1,1.0,0.587,1.48,0.667,0.285,838,0.034,0
37,stajyer_degisken_gelir,103165.0,86484.0,13,2,0.208,0.838,6.9,0.667,0.328,643,0.0124,0
38,ogrenci_yuksek_hacim,110754.0,90021.0,27,4,0.239,0.813,2.549,0.833,0.409,620,0.0076,0
39,ogrenci_yuksek_hacim,108083.0,74836.0,27,4,0.275,0.692,18.553,1.0,0.404,618,0.0102,0
40,ogrenci_yuksek_hacim,158963.0,94493.0,28,4,0.022,0.594,20.981,0.833,0.422,668,0.0653,0
41,klasik_maasli,130452.0,89142.0,6,1,1.0,0.683,0.913,0.333,0.287,830,0.089,1
42,klasik_maasli,182461.0,116238.0,6,1,1.0,0.637,1.18,0.5,0.29,850,0.0664,0
43,ogrenci_yuksek_hacim,148641.0,114713.0,28,4,0.177,0.772,9.316,1.0,0.412,658,0.0651,0
44,stajyer_degisken_gelir,61163.0,52959.0,9,2,0.329,0.866,5.263,1.0,0.3,601,0.0798,0
45,ogrenci_yuksek_hacim,96448.0,66105.0,27,4,0.226,0.685,9.121,0.5,0.429,606,0.0888,0
46,ogrenci_yuksek_hacim,108753.0,96483.0,30,4,0.18,0.887,2.903,1.0,0.424,618,0.1062,0
